2026-04-26T07:13:07Z,trader-r3-v1-vev-meanrev.py,1,2017.00,runs/sweep,vmr-ema50-te2-sk2.0-tc30,sweep vev_meanrev; trades=16
2026-04-26T07:13:07Z,trader-r3-v1-vev-meanrev.py,2,-2005.00,runs/sweep,vmr-ema50-te2-sk2.0-tc30,sweep vev_meanrev; trades=9
2026-04-26T07:13:11Z,trader-r3-v1-vev-meanrev.py,0,-305.00,runs/sweep,vmr-ema80-te0-sk0.5-tc20,sweep vev_meanrev; trades=26
2026-04-26T07:13:11Z,trader-r3-v1-vev-meanrev.py,1,-1500.50,runs/sweep,vmr-ema80-te0-sk0.5-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:13:11Z,trader-r3-v1-vev-meanrev.py,2,-1920.00,runs/sweep,vmr-ema80-te0-sk0.5-tc20,sweep vev_meanrev; trades=14
2026-04-26T07:13:14Z,trader-r3-v1-vev-meanrev.py,0,-419.00,runs/sweep,vmr-ema80-te0-sk0.5-tc30,sweep vev_meanrev; trades=19
2026-04-26T07:13:14Z,trader-r3-v1-vev-meanrev.py,1,-1469.50,runs/sweep,vmr-ema80-te0-sk0.5-tc30,sweep vev_meanrev; trades=5
2026-04-26T07:13:14Z,trader-r3-v1-vev-meanrev.py,2,2837.50,runs/sweep,vmr-ema80-te0-sk0.5-tc30,sweep vev_meanrev; trades=4
2026-04-26T07:13:18Z,trader-r3-v1-vev-meanrev.py,0,-302.00,runs/sweep,vmr-ema80-te0-sk1.0-tc20,sweep vev_meanrev; trades=26
2026-04-26T07:13:18Z,trader-r3-v1-vev-meanrev.py,1,-1497.50,runs/sweep,vmr-ema80-te0-sk1.0-tc20,sweep vev_meanrev; trades=5
2026-04-26T07:13:18Z,trader-r3-v1-vev-meanrev.py,2,-1920.00,runs/sweep,vmr-ema80-te0-sk1.0-tc20,sweep vev_meanrev; trades=14
2026-04-26T07:13:21Z,trader-r3-v1-vev-meanrev.py,0,-419.00,runs/sweep,vmr-ema80-te0-sk1.0-tc30,sweep vev_meanrev; trades=19
2026-04-26T07:13:21Z,trader-r3-v1-vev-meanrev.py,1,-1466.50,runs/sweep,vmr-ema80-te0-sk1.0-tc30,sweep vev_meanrev; trades=5
